United States:
    US;1003 (Alabama, United States)
    US;1040 (Alaska, United States)
    US;1945 (Arizona, United States)
    US;1951 (Arkansas, United States)
    US;5599 (California, United States)
    US;7636 (Colorado, United States)
    US;7798 (Connecticut, United States)
    US;8831 (Delaware, United States)
    US;9130 (District of Columbia, United States)
    US;11032 (Florida, United States)
    US;12004 (Georgia, United States)
    US;13656 (Hawaii, United States)
    US;14713 (Idaho, United States)
    US;14808 (Illinois, United States)
    US;14882 (Indiana, United States)
    US;14987 (Iowa, United States)
    US;16121 (Kansas, United States)
    US;16480 (Kentucky, United States)
    US;19283 (Louisiana, United States)
    US;19840 (Maine, United States)
    US;20487 (Maryland, United States)
    US;20543 (Massachusetts, United States)
    US;21196 (Michigan, United States)
    US;21412 (Minnesota, United States)
    US;21502 (Mississippi, United States)
    US;21512 (Missouri, United States)
    US;21789 (Montana, United States)
    US;22869 (Nebraska, United States)
    US;23035 (Nevada, United States)
    US;23097 (New Hampshire, United States)
    US;23117 (New Jersey, United States)
    US;23132 (New Mexico, United States)
    US;23161 (New York, United States)
    US;23611 (North Carolina, United States)
    US;23624 (North Dakota, United States)
    US;24230 (Ohio, United States)
    US;24293 (Oklahoma, United States)
    US;24561 (Oregon, United States)
    US;25623 (Pennsylvania, United States)
    US;27664 (Rhode Island, United States)
    US;31410 (South Carolina, United States)
    US;31418 (South Dakota, United States)
    US;33025 (Tennessee, United States)
    US;33145 (Texas, United States)
    US;34626 (Utah, United States)
    US;35022 (Vermont, United States)
    US;35364 (Virginia, United States)
    US;35841 (Washington, United States)
    US;36208 (West Virginia, United States)
    US;36684 (Wisconsin, United States)
    US;36927 (Wyoming, United States)
Argentina:
    AR;1000 (Buenos Aires City, Argentina)
    AR;2000 (Buenos Aires, Argentina)
    AR;3000 (Catamarca, Argentina)
    AR;4000 (Chaco, Argentina)
    AR;5000 (Chubut, Argentina)
    AR;6000 (Cordoba, Argentina)
    AR;7000 (Corrientes, Argentina)
    AR;8000 (Entre Rios, Argentina)
    AR;9000 (Formosa, Argentina)
    AR;10000 (Jujuy, Argentina)
    AR;11000 (La Pampa, Argentina)
    AR;12000 (La Rioja, Argentina)
    AR;13000 (Mendoza, Argentina)
    AR;14000 (Misiones, Argentina)
    AR;15000 (Neuquen, Argentina)
    AR;16000 (Rio Negro, Argentina)
    AR;17000 (Salta, Argentina)
    AR;18000 (San Juan, Argentina)
    AR;19000 (San Luis, Argentina)
    AR;20000 (Santa Cruz, Argentina)
    AR;21000 (Santa Fe, Argentina)
    AR;22000 (Santiago del Estero, Argentina)
    AR;23000 (Tierra del Fuego, Argentina)
    AR;24000 (Tucuman, Argentina)
South Korea:
    KR;10127143 (Busan, South Korea)
    KR;9292741 (Chungcheongbuk-do, South Korea)
    KR;9292740 (Chungcheongnam-do, South Korea)
    KR;10127142 (Daegu, South Korea)
    KR;10127141 (Daejeon, South Korea)
    KR;9290738 (Gangwon-do, South Korea)
    KR;10127144 (Gwangju, South Korea)
    KR;9289210 (Gyeonggi-do, South Korea)
    KR;9289197 (Gyeongsangbuk-do, South Korea)
    KR;9289196 (Gyeongsangnam-do, South Korea)
    KR;10127102 (Incheon, South Korea)
    KR;10127145 (Jeju-do, South Korea)
    KR;9293426 (Jeollabuk-do, South Korea)
    KR;9293425 (Jeollanam-do, South Korea)
    KR;10127103 (Seoul, South Korea)
    KR;10209537 (Ulsan, South Korea)
India:
    IN;7911143 (Andaman and Nicobar Islands, India)
    IN;1569 (Andhra Pradesh, India)
    IN;10101668 (Arunachal Pradesh, India)
    IN;2147 (Assam, India)
    IN;3922 (Bihar, India)
    IN;10122743 (Chandigarh, India)
    IN;7911144 (Chhattisgarh, India)
    IN;10122742 (Dadra and Nagar Haveli, India)
    IN;10122741 (Daman and Diu, India)
    IN;10122740 (Delhi, India)
    IN;7903620 (Goa, India)
    IN;7903232 (Gujarat, India)
    IN;13586 (Haryana, India)
    IN;14030 (Himachal Pradesh, India)
    IN;15393 (Jammu and Kashmir, India)
    IN;7911146 (Jharkhand, India)
    IN;16217 (Karnataka, India)
    IN;16494 (Kerala, India)
    IN;17968 (Lakshadweep, India)
    IN;19687 (Madhya Pradesh, India)
    IN;41826 (Maharashtra, India)
    IN;10122737 (Manipur, India)
    IN;10122739 (Meghalaya, India)
    IN;10107296 (Mizoram, India)
    IN;10122736 (Nagaland, India)
    IN;24593 (Orissa, India)
    IN;26311 (Puducherry, India)
    IN;26903 (Punjab, India)
    IN;27243 (Rajasthan, India)
    IN;30857 (Sikkim, India)
    IN;32665 (Tamil Nadu, India)
    IN;10107297 (Tripura, India)
    IN;34648 (Uttar Pradesh, India)
    IN;7911145 (Uttarakhand, India)
    IN;36115 (West Bengal, India)
Malaysia:
    MY;1 (Johor, Malaysia)
    MY;2 (Kedah, Malaysia)
    MY;3 (Kuala Lumpur, Malaysia)
    MY;4 (Kelantan, Malaysia)
    MY;5 (Melaka, Malaysia)
    MY;6 (Neqeri Sembilan, Malaysia)
    MY;7 (Pahang, Malaysia)
    MY;8 (Penang, Malaysia)
    MY;9 (Perak, Malaysia)
    MY;10 (Perlis, Malaysia)
    MY;11 (Sabah, Malaysia)
    MY;12 (Sarawak, Malaysia)
    MY;13 (Selangor, Malaysia)
    MY;14 (Terengganu, Malaysia)
Brazil:
    BR;100 (Acre, Brazil)
    BR;200 (Alagoas, Brazil)
    BR;300 (Amapa, Brazil)
    BR;400 (Amazonas, Brazil)
    BR;500 (Bahia, Brazil)
    BR;600 (Ceara, Brazil)
    BR;700 (Distrito Federal, Brazil)
    BR;800 (Espirito Santo, Brazil)
    BR;900 (Goias, Brazil)
    BR;1000 (Maranhao, Brazil)
    BR;1100 (Mato Grosso, Brazil)
    BR;1200 (Mato Grosso do Sul, Brazil)
    BR;1300 (Minas Gerais, Brazil)
    BR;1400 (Para, Brazil)
    BR;1500 (Paraiba, Brazil)
    BR;1600 (Parana, Brazil)
    BR;1700 (Pernambuco, Brazil)
    BR;1800 (Piaui, Brazil)
    BR;1900 (Rio de Janeiro, Brazil)
    BR;2000 (Rio Grande do Norte, Brazil)
    BR;2100 (Rio Grande do Sul, Brazil)
    BR;2200 (Rondonia, Brazil)
    BR;2300 (Roraima, Brazil)
    BR;2400 (Santa Catarina, Brazil)
    BR;2500 (Sao Paulo, Brazil)
    BR;2600 (Sergipe, Brazil)
    BR;2700 (Tocantins, Brazil)
Thailand:
    TH;1 (Mae Hong Son, Thailand)
    TH;2 (Ratchaburi, Thailand)
    TH;3 (Chiang Mai, Thailand)
    TH;4 (Phetchaburi, Thailand)
    TH;5 (Chiang Rai, Thailand)
    TH;6 (Prachuap Khiri Khan, Thailand)
    TH;7 (Phayao, Thailand)
    TH;8 (Nan, Thailand)
    TH;9 (Chai Nat, Thailand)
    TH;10 (Lamphun, Thailand)
    TH;11 (Sing Buri, Thailand)
    TH;12 (Lampang, Thailand)
    TH;13 (Lop Buri, Thailand)
    TH;14 (Phrae, Thailand)
    TH;15 (Ang Thong, Thailand)
    TH;16 (Phra Nakhon Si Ayuttaya, Thailand)
    TH;17 (Uttaradit, Thailand)
    TH;18 (Saraburi, Thailand)
    TH;19 (Tak, Thailand)
    TH;20 (Pathum Thani, Thailand)
    TH;21 (Sukhothai, Thailand)
    TH;22 (Nonthaburi, Thailand)
    TH;23 (Phitsanulok, Thailand)
    TH;24 (Bangkok, Thailand)
    TH;25 (Kamphaeng Phet, Thailand)
    TH;26 (Samut Prakan, Thailand)
    TH;27 (Phichit, Thailand)
    TH;28 (Samut Songkhram, Thailand)
    TH;29 (Uthai Thani, Thailand)
    TH;30 (Samut Sakhon, Thailand)
    TH;31 (Nakhon Sawan, Thailand)
    TH;32 (Nakhon Pathom, Thailand)
    TH;33 (Phetchabun, Thailand)
    TH;34 (Nakhon Nayok, Thailand)
    TH;35 (Loei, Thailand)
    TH;36 (Prachin Buri, Thailand)
    TH;37 (Udon Thani, Thailand)
    TH;38 (Sa Kaew, Thailand)
    TH;39 (Nongbua Lumphoo, Thailand)
    TH;40 (Cha Choeng Sao, Thailand)
    TH;41 (Nong Khai, Thailand)
    TH;42 (Chon Buri, Thailand)
    TH;43 (Sakon Nakhon, Thailand)
    TH;44 (Rayong, Thailand)
    TH;45 (Nakhon Phanom, Thailand)
    TH;46 (Chanthaburi, Thailand)
